piece_id,bar_number,note_index,ref_pitch_name,ref_pitch_cent,duration_qn,notes
07,2,1,C5,7200,1,voice=1
07,2,2,A#4,7000,2,voice=1
07,2,3,B4,7100,1,voice=1
07,3,1,G#4,6800,1.5,voice=1
07,3,2,A4,6900,0.5,voice=1
07,3,3,G4,6700,0.5,voice=1
07,3,4,F#4,6600,0.5,voice=1
07,3,5,G#4,6800,1,voice=1
07,3,6,G4,6700,1,voice=1
07,4,1,C#5,7300,3,voice=1 tie_start
07,4,2,C5,7200,1,voice=1
07,4,3,D4,6200,1,voice=1
07,5,1,F4,6500,1,voice=1
07,5,2,D4,6200,1,voice=1
07,5,3,E4,6400,1,voice=1
07,5,4,G#4,6800,1,voice=1
07,5,5,B4,7100,1,voice=1
07,5,6,D4,6200,1,voice=1
07,6,1,F#4,6600,1,voice=1
07,6,2,F4,6500,1,voice=1
07,6,3,C5,7200,0.5,voice=1
07,6,4,A4,6900,1.5,voice=1
07,6,5,F#4,6600,0.5,voice=1
07,7,1,A4,6900,1,voice=1
07,7,2,G#4,6800,1,voice=1
07,7,3,A4,6900,1,voice=1
07,7,4,A#4,7000,1.5,voice=1
07,7,5,G4,6700,0.5,voice=1
07,7,6,A4,6900,1,voice=1
07,8,1,C5,7200,1.5,voice=1
07,8,2,C#5,7300,0.5,voice=1
07,8,3,C5,7200,0.5,voice=1
07,8,4,D5,7400,0.75,voice=1
07,8,5,C#5,7300,0.25,voice=1
07,8,6,C5,7200,0.5,voice=1
07,8,7,A#4,7000,0.5,voice=1
07,9,1,E5,7600,4,voice=1 tie_start
07,12,1,D#4,6300,0.5,voice=1
07,12,2,D#4,6300,1,voice=1
07,13,1,D#4,6300,1,voice=1
07,13,2,D4,6200,2,voice=1
07,13,3,B3,5900,2,voice=1
07,13,4,G#3,5600,1,voice=1
07,14,1,E4,6400,1,voice=1
07,14,2,C#4,6100,1,voice=1
07,14,3,G3,5500,1,voice=1
07,14,4,F3,5300,2,voice=1
07,14,5,G#4,6800,0.5,voice=1
07,15,1,A3,5700,2,voice=1
07,15,2,B4,7100,0.5,voice=1
07,15,3,E4,6400,1,voice=1
07,15,4,F3,5300,1,voice=1
07,16,1,B4,7100,1,voice=1 tie_start
07,16,2,E4,6400,0.5,voice=1
07,16,3,F3,5300,2,voice=1 tie_start
07,16,4,E3,5200,2,voice=1
07,17,1,D4,6200,2,voice=1
07,17,2,B3,5900,1,voice=1
07,17,3,E4,6400,1.5,voice=1
07,17,4,D#4,6300,0.5,voice=1
07,17,5,G3,5500,0.5,voice=1
07,17,6,C4,6000,0.5,voice=1
07,18,1,F#4,6600,1,voice=1
07,18,2,F4,6500,1,voice=1
07,18,3,C5,7200,2,voice=1 tie_start
07,19,2,B4,7100,0.5,voice=1
07,19,3,G#4,6800,0.5,voice=1
07,19,4,C5,7200,1.5,voice=1 tie_start
07,19,5,B4,7100,0.5,voice=1
07,19,6,G#4,6800,0.5,voice=1
07,19,7,C#4,6100,0.5,voice=1
07,19,8,C5,7200,1,voice=1
