recording_id,segment_id,bar_number,note_index,start_s,end_s,coverage,notes
ath-1973,seg_p07_m18b6_m19b5,18,3,78.100,79.567,partial,segment開始はm18途中（6拍目）
ath-1973,seg_p07_m18b6_m19b5,19,2,79.567,79.933,partial,
ath-1973,seg_p07_m18b6_m19b5,19,3,79.933,80.300,partial,
ath-1973,seg_p07_m18b6_m19b5,19,4,80.300,81.400,partial,
ath-1973,seg_p07_m18b6_m19b5,19,5,81.400,81.767,partial,
ath-1973,seg_p07_m18b6_m19b5,19,6,81.767,82.133,partial,
ath-1973,seg_p07_m18b6_m19b5,19,7,82.133,82.500,partial,segment終了はm19途中（5拍目まで）
hul-2012,seg_p07_m18b6_m19b5,18,3,106.200,108.067,partial,音価比 2/6（=1.867s）を割当（再計算）
hul-2012,seg_p07_m18b6_m19b5,19,2,108.067,108.533,partial,音価比 0.5/6（=0.467s）を割当
hul-2012,seg_p07_m18b6_m19b5,19,3,108.533,109.000,partial,音価比 0.5/6（=0.467s）を割当
hul-2012,seg_p07_m18b6_m19b5,19,4,109.000,110.400,partial,音価比 1.5/6（=1.400s）を割当
hul-2012,seg_p07_m18b6_m19b5,19,5,110.400,110.867,partial,音価比 0.5/6（=0.467s）を割当
hul-2012,seg_p07_m18b6_m19b5,19,6,110.867,111.333,partial,音価比 0.5/6（=0.467s）を割当
hul-2012,seg_p07_m18b6_m19b5,19,7,111.333,111.800,partial,音価比 0.5/6（=0.467s）を割当（segment終端）
ath-1973,seg_p07_m5,5,1,14.349,14.995,full,音価比按分による推定値（要聴取確認）
ath-1973,seg_p07_m5,5,2,14.995,15.642,full,
ath-1973,seg_p07_m5,5,3,15.642,16.288,full,
ath-1973,seg_p07_m5,5,4,16.288,16.934,full,
ath-1973,seg_p07_m5,5,5,16.934,17.581,full,
ath-1973,seg_p07_m5,5,6,17.581,18.227,full,
hul-2012,seg_p07_m5,5,1,17.918,18.814,full,音価比按分による推定値（要聴取確認）
hul-2012,seg_p07_m5,5,2,18.814,19.711,full,
hul-2012,seg_p07_m5,5,3,19.711,20.607,full,
hul-2012,seg_p07_m5,5,4,20.607,21.504,full,
hul-2012,seg_p07_m5,5,5,21.504,22.400,full,
hul-2012,seg_p07_m5,5,6,22.400,23.297,full,
ath-1973,seg_p07_m8,8,1,28.120,29.474,full,音価比按分による推定値（要聴取確認）
ath-1973,seg_p07_m8,8,2,29.474,29.926,full,
ath-1973,seg_p07_m8,8,3,29.926,30.377,full,
ath-1973,seg_p07_m8,8,4,30.377,31.054,full,
ath-1973,seg_p07_m8,8,5,31.054,31.280,full,
ath-1973,seg_p07_m8,8,6,31.280,31.732,full,
ath-1973,seg_p07_m8,8,7,31.732,32.183,full,
hul-2012,seg_p07_m8,8,1,36.515,38.348,full,音価比按分による推定値（要聴取確認）
