recording_id,piece_id,segment_id,start_s,end_s,notes
ath-1973,07,seg_p07_m18b6_m19b5,78.1,82.5,"op21-07: m18 beat6 → m19 beat5（計6拍）．譜面上7音: C5,B4,G#4,C5,B4,G#4,C#4．開始Cは五線上から2段目のC（C5）．segment_score_map の各音 start/end は7音の長さ比（2,0.5,0.5,1.5,0.5,0.5,0.5；合計6）に基づく重み付き分割で設定（暫定；要精密化）"
hul-2012,07,seg_p07_m18b6_m19b5,106.2,111.8,op21-07: m18 beat6 → m19 beat5（計6拍）．終端を0.2s短縮して再調整（要精密化）
ath-1973,07,seg_p07_m5,14.349,18.227,op21-07: m5全体（6音6拍）．F4-D4-E4-G#4-B4-D4．中音域・跳躍多・均等密度．pyin F0パターンからの推定値（聴取確認済み 2026-04-26）
hul-2012,07,seg_p07_m5,17.918,23.297,op21-07: m5全体（6音6拍）．F4-D4-E4-G#4-B4-D4．中音域・跳躍多・均等密度．pyin F0パターンからの推定値（聴取確認済み 2026-04-26）
ath-1973,07,seg_p07_m8,28.12,32.183,op21-07: m8全体（7音4.5拍）．C5-C#5-C5-D5-C#5-C5-A#4．高音域・半音階・高密度．pyin F0パターンからの推定値（聴取確認済み 2026-04-26）
hul-2012,07,seg_p07_m8,36.515,42.015,op21-07: m8全体（7音4.5拍）．C5-C#5-C5-D5-C#5-C5-A#4．高音域・半音階・高密度．pyin F0パターンからの推定値（聴取確認済み 2026-04-26）
ath-1973,07,seg_p07_m13,50.463,55.221,op21-07: m13全体（4音6拍）．D#4-D4-B3-G#3．低音域・下行・疎．pyin F0パターンからの推定値（聴取確認済み 2026-04-26）
hul-2012,07,seg_p07_m13,67.091,73.5,op21-07: m13全体（4音6拍）．D#4-D4-B3-G#3．低音域・下行・疎．pyin F0パターンからの推定値（聴取確認済み 2026-04-26）
ath-1973,07,seg_p07_m10_m11,38.0,46.0,op21-07: m10-m11 フルートのみ（声なし）．Demucs vocals 出力の混入評価リファレンス区間．start_s/end_s は仮値で運用（精密化しない方針：decisions.md 2026-04-26 参照）．issue #6
hul-2012,07,seg_p07_m10_m11,48.0,58.0,op21-07: m10-m11 フルートのみ（声なし）．Demucs vocals 出力の混入評価リファレンス区間．start_s/end_s は仮値で運用（精密化しない方針：decisions.md 2026-04-26 参照）．issue #6
bou-1961,07,seg_p07_m18b6_m19b5,80.536,85.65,op21-07: seg_p07_m18b6_m19b5．ath-1973比例按分推定値（duration ratio=0.8991）．聴取確認済み 2026-04-26
bou-1961,07,seg_p07_m5,15.131,19.507,op21-07: seg_p07_m5．ath-1973比例按分推定値（duration ratio=0.8991）．聴取確認済み 2026-04-26
bou-1961,07,seg_p07_m8,29.536,33.403,op21-07: seg_p07_m8．ath-1973比例按分推定値（duration ratio=0.8991）．聴取確認済み 2026-04-26
bou-1961,07,seg_p07_m13,51.286,55.374,op21-07: seg_p07_m13．ath-1973比例按分推定値（duration ratio=0.8991）．聴取確認済み 2026-04-26
bou-1961,07,seg_p07_m10_m11,37.618,46.048,op21-07: seg_p07_m10_m11．ath-1973比例按分推定値（duration ratio=0.8991）．聴取確認済み 2026-04-26
bou-1977,07,seg_p07_m18b6_m19b5,83.779,88.862,op21-07: seg_p07_m18b6_m19b5．ath-1973比例按分推定値（duration ratio=1.0147）．聴取確認済み 2026-04-26
bou-1977,07,seg_p07_m5,14.56,18.812,op21-07: seg_p07_m5．ath-1973比例按分推定値（duration ratio=1.0147）．聴取確認済み 2026-04-26
bou-1977,07,seg_p07_m8,28.024,32.428,op21-07: seg_p07_m8．ath-1973比例按分推定値（duration ratio=1.0147）．聴取確認済み 2026-04-26
bou-1977,07,seg_p07_m13,51.78,56.843,op21-07: seg_p07_m13．ath-1973比例按分推定値（duration ratio=1.0147）．聴取確認済み 2026-04-26
bou-1977,07,seg_p07_m10_m11,37.28,46.205,op21-07: seg_p07_m10_m11．ath-1973比例按分推定値（duration ratio=1.0147）．聴取確認済み 2026-04-26
her-1991,07,seg_p07_m18b6_m19b5,100.607,106.382,op21-07: seg_p07_m18b6_m19b5．ath-1973比例按分推定値（duration ratio=1.2101）．聴取確認済み 2026-04-26
her-1991,07,seg_p07_m5,17.929,23.268,op21-07: seg_p07_m5．ath-1973比例按分推定値（duration ratio=1.2101）．聴取確認済み 2026-04-26
her-1991,07,seg_p07_m8,35.926,41.272,op21-07: seg_p07_m8．ath-1973比例按分推定値（duration ratio=1.2101）．聴取確認済み 2026-04-26
her-1991,07,seg_p07_m13,62.885,68.706,op21-07: seg_p07_m13．ath-1973比例按分推定値（duration ratio=1.2101）．聴取確認済み 2026-04-26
her-1991,07,seg_p07_m10_m11,46.913,57.313,op21-07: seg_p07_m10_m11．ath-1973比例按分推定値（duration ratio=1.2101）．聴取確認済み 2026-04-26
