recording_id,segment_id,n_notes,n_kept,n_intervals_bridging,n_intervals_strict,rho_bridging,rho_strict,rho_published,sanity_bridging_matches_published
ath-1973,seg_p07_m13,4,4,3,3,0.866025,0.866025,0.866025,OK
ath-1973,seg_p07_m18b6_m19b5,7,7,6,6,0.971008,0.971008,0.971008,OK
ath-1973,seg_p07_m5,6,6,5,5,0.900000,0.900000,0.900000,OK
ath-1973,seg_p07_m8,7,7,6,6,0.941124,0.941124,0.941124,OK
bou-1961,seg_p07_m13,4,4,3,3,0.866025,0.866025,0.866025,OK
bou-1961,seg_p07_m18b6_m19b5,7,6,5,4,0.820783,0.632456,0.820783,OK
bou-1961,seg_p07_m5,6,5,4,3,1.000000,1.000000,1.000000,OK
bou-1961,seg_p07_m8,7,4,3,3,0.866025,0.866025,0.866025,OK
bou-1977,seg_p07_m13,4,4,3,3,0.866025,0.866025,0.866025,OK
bou-1977,seg_p07_m18b6_m19b5,7,7,6,6,0.971008,0.971008,0.971008,OK
bou-1977,seg_p07_m5,6,6,5,5,1.000000,1.000000,1.000000,OK
bou-1977,seg_p07_m8,7,7,6,6,0.941124,0.941124,0.941124,OK
her-1991,seg_p07_m13,4,4,3,3,0.000000,0.000000,0.000000,OK
her-1991,seg_p07_m18b6_m19b5,7,4,3,1,-0.500000,,-0.500000,OK
her-1991,seg_p07_m5,6,5,4,3,1.000000,1.000000,1.000000,OK
her-1991,seg_p07_m8,7,5,4,4,0.948683,0.948683,0.948683,OK
hul-2012,seg_p07_m13,4,4,3,3,0.866025,0.866025,0.866025,OK
hul-2012,seg_p07_m18b6_m19b5,7,6,5,4,0.900000,1.000000,0.900000,OK
hul-2012,seg_p07_m5,6,5,4,4,0.800000,0.800000,0.800000,OK
hul-2012,seg_p07_m8,7,5,4,3,0.948683,0.866025,0.948683,OK
