recording_id,dropped_segment,n_segments,offset_med_cent,contour_std,baseline_type,loso_type,stable
ath-1973,m13,3,-30.0,0.029,score-faithful,score-faithful,True
ath-1973,m18b6_m19b5,3,-15.0,0.031,score-faithful,score-faithful,True
ath-1973,m5,3,-15.0,0.044,score-faithful,score-faithful,True
ath-1973,m8,3,-30.0,0.044,score-faithful,score-faithful,True
hul-2012,m13,3,0.0,0.062,score-faithful,score-faithful,True
hul-2012,m18b6_m19b5,3,0.0,0.061,score-faithful,score-faithful,True
hul-2012,m5,3,-60.0,0.034,score-faithful,score-faithful,True
hul-2012,m8,3,-60.0,0.042,score-faithful,score-faithful,True
bou-1961,m13,3,-805.0,0.076,directed-recitation,directed-recitation,True
bou-1961,m18b6_m19b5,3,-530.0,0.063,directed-recitation,directed-recitation,True
bou-1961,m5,3,-805.0,0.021,directed-recitation,directed-recitation,True
bou-1961,m8,3,-530.0,0.076,directed-recitation,directed-recitation,True
bou-1977,m13,3,-10.0,0.024,score-faithful,score-faithful,True
bou-1977,m18b6_m19b5,3,-10.0,0.055,score-faithful,score-faithful,True
bou-1977,m5,3,-40.0,0.044,score-faithful,score-faithful,True
bou-1977,m8,3,-40.0,0.058,score-faithful,score-faithful,True
her-1991,m13,3,-290.0,0.695,dynamic,dynamic,True
her-1991,m18b6_m19b5,3,-350.0,0.46,dynamic,dynamic,True
her-1991,m5,3,-290.0,0.601,dynamic,dynamic,True
her-1991,m8,3,-350.0,0.624,dynamic,dynamic,True
