config,recording_id,offset_median_cent,contour_std,classified_type,published_type,flip
frame1024-hop128,ath-1973,-35.2,0.0399,score-faithful,score-faithful,stable
frame1024-hop128,hul-2012,-30.2,0.0529,score-faithful,score-faithful,stable
frame1024-hop128,bou-1961,-662.7,0.0727,directed-recitation,directed-recitation,stable
frame1024-hop128,bou-1977,-20.2,0.0499,score-faithful,score-faithful,stable
frame1024-hop128,her-1991,-317.7,0.5765,dynamic,dynamic,stable
frame1024-hop256,ath-1973,-30.2,0.0403,score-faithful,score-faithful,stable
frame1024-hop256,hul-2012,-30.2,0.0529,score-faithful,score-faithful,stable
frame1024-hop256,bou-1961,-662.7,0.0727,directed-recitation,directed-recitation,stable
frame1024-hop256,bou-1977,-20.2,0.0499,score-faithful,score-faithful,stable
frame1024-hop256,her-1991,-321.4,0.6374,dynamic,dynamic,stable
frame1024-hop512,ath-1973,-27.7,0.0937,score-faithful,score-faithful,stable
frame1024-hop512,hul-2012,-30.2,0.0529,score-faithful,score-faithful,stable
frame1024-hop512,bou-1961,-657.7,0.1316,directed-recitation,directed-recitation,stable
frame1024-hop512,bou-1977,-20.2,0.0500,score-faithful,score-faithful,stable
frame1024-hop512,her-1991,-317.7,0.6124,dynamic,dynamic,stable
frame2048-hop128,ath-1973,-22.7,0.0312,score-faithful,score-faithful,stable
frame2048-hop128,hul-2012,-30.2,0.0541,score-faithful,score-faithful,stable
frame2048-hop128,bou-1961,-660.2,0.1316,directed-recitation,directed-recitation,stable
frame2048-hop128,bou-1977,-20.2,0.0499,score-faithful,score-faithful,stable
frame2048-hop128,her-1991,-320.2,0.6124,dynamic,dynamic,stable
frame2048-hop256,ath-1973,-25.2,0.0942,score-faithful,score-faithful,stable
frame2048-hop256,hul-2012,-30.2,0.0541,score-faithful,score-faithful,stable
frame2048-hop256,bou-1961,-662.7,0.1316,directed-recitation,directed-recitation,stable
frame2048-hop256,bou-1977,-22.7,0.0478,score-faithful,score-faithful,stable
frame2048-hop256,her-1991,-320.2,0.6124,dynamic,dynamic,stable
frame2048-hop512,ath-1973,-25.2,0.1001,score-faithful,score-faithful,stable
frame2048-hop512,hul-2012,-30.2,0.0529,score-faithful,score-faithful,stable
frame2048-hop512,bou-1961,-662.7,0.0671,directed-recitation,directed-recitation,stable
frame2048-hop512,bou-1977,-20.2,0.0478,score-faithful,score-faithful,stable
frame2048-hop512,her-1991,-320.2,0.3897,dynamic,dynamic,stable
frame4096-hop128,ath-1973,-27.7,0.1051,score-faithful,score-faithful,stable
frame4096-hop128,hul-2012,-30.2,0.0309,score-faithful,score-faithful,stable
frame4096-hop128,bou-1961,-672.7,0.0671,directed-recitation,directed-recitation,stable
frame4096-hop128,bou-1977,-21.4,0.0437,score-faithful,score-faithful,stable
frame4096-hop128,her-1991,-320.2,0.6374,dynamic,dynamic,stable
frame4096-hop256,ath-1973,-22.7,0.1051,score-faithful,score-faithful,stable
frame4096-hop256,hul-2012,-30.2,0.0309,score-faithful,score-faithful,stable
frame4096-hop256,bou-1961,-671.4,0.0671,directed-recitation,directed-recitation,stable
frame4096-hop256,bou-1977,-25.2,0.0499,score-faithful,score-faithful,stable
frame4096-hop256,her-1991,-320.2,0.6374,dynamic,dynamic,stable
frame4096-hop512,ath-1973,-26.4,0.0595,score-faithful,score-faithful,stable
frame4096-hop512,hul-2012,-30.2,0.0309,score-faithful,score-faithful,stable
frame4096-hop512,bou-1961,-670.2,0.0671,directed-recitation,directed-recitation,stable
frame4096-hop512,bou-1977,-22.7,0.0499,score-faithful,score-faithful,stable
frame4096-hop512,her-1991,-320.2,0.6374,dynamic,dynamic,stable
shift-50ms,ath-1973,-13.9,0.0845,score-faithful,score-faithful,stable
shift-50ms,hul-2012,-30.2,0.0529,score-faithful,score-faithful,stable
shift-50ms,bou-1961,-657.7,0.0671,directed-recitation,directed-recitation,stable
shift-50ms,bou-1977,-20.2,0.0478,score-faithful,score-faithful,stable
shift-50ms,her-1991,-317.7,0.4126,dynamic,dynamic,stable
shift-20ms,ath-1973,-27.7,0.1144,score-faithful,score-faithful,stable
shift-20ms,hul-2012,-30.2,0.0529,score-faithful,score-faithful,stable
shift-20ms,bou-1961,-663.9,0.0671,directed-recitation,directed-recitation,stable
shift-20ms,bou-1977,-20.2,0.0478,score-faithful,score-faithful,stable
shift-20ms,her-1991,-320.2,0.6374,dynamic,dynamic,stable
shift+20ms,ath-1973,-25.2,0.0970,score-faithful,score-faithful,stable
