config,recording_id,segment_id,n_kept,offset_cent,range_compression,contour_correlation
frame1024-hop128,ath-1973,seg_p07_m5,6,-50.169,0.7580,0.9000
frame1024-hop128,ath-1973,seg_p07_m8,7,-10.169,1.0608,0.9411
frame1024-hop128,ath-1973,seg_p07_m13,4,-20.169,1.4412,0.8660
frame1024-hop128,ath-1973,seg_p07_m18b6_m19b5,7,-50.169,0.9286,0.9710
frame1024-hop128,hul-2012,seg_p07_m5,5,19.831,0.7331,0.8000
frame1024-hop128,hul-2012,seg_p07_m8,5,-0.169,1.1707,0.9487
frame1024-hop128,hul-2012,seg_p07_m13,4,-60.169,1.0536,0.8660
frame1024-hop128,hul-2012,seg_p07_m18b6_m19b5,7,-60.169,1.4500,0.8827
frame1024-hop128,bou-1961,seg_p07_m5,5,-530.169,0.7100,1.0000
frame1024-hop128,bou-1961,seg_p07_m8,4,-795.169,0.7519,0.8660
frame1024-hop128,bou-1961,seg_p07_m13,4,-400.169,0.9418,0.8660
frame1024-hop128,bou-1961,seg_p07_m18b6_m19b5,5,-890.169,1.1994,0.8000
frame1024-hop128,bou-1977,seg_p07_m5,6,-10.169,0.9787,1.0000
frame1024-hop128,bou-1977,seg_p07_m8,7,9.831,1.0328,0.9411
frame1024-hop128,bou-1977,seg_p07_m13,4,-55.169,1.1185,0.8660
frame1024-hop128,bou-1977,seg_p07_m18b6_m19b5,7,-30.169,1.0400,0.9710
frame1024-hop128,her-1991,seg_p07_m5,5,-360.169,0.8079,1.0000
frame1024-hop128,her-1991,seg_p07_m8,5,-290.169,0.5506,0.6325
frame1024-hop128,her-1991,seg_p07_m13,4,-345.169,0.8117,0.0000
frame1024-hop128,her-1991,seg_p07_m18b6_m19b5,4,-65.169,1.3729,-0.5000
frame1024-hop256,ath-1973,seg_p07_m5,6,-52.669,0.7696,0.9000
frame1024-hop256,ath-1973,seg_p07_m8,7,-0.169,1.0772,0.8804
frame1024-hop256,ath-1973,seg_p07_m13,4,-20.169,1.4478,0.8660
frame1024-hop256,ath-1973,seg_p07_m18b6_m19b5,7,-40.169,0.9752,0.9710
frame1024-hop256,hul-2012,seg_p07_m5,5,19.831,0.7433,0.8000
frame1024-hop256,hul-2012,seg_p07_m8,5,-0.169,1.1455,0.9487
frame1024-hop256,hul-2012,seg_p07_m13,4,-60.169,1.0606,0.8660
frame1024-hop256,hul-2012,seg_p07_m18b6_m19b5,7,-60.169,1.4466,0.8827
frame1024-hop256,bou-1961,seg_p07_m5,5,-530.169,0.7241,1.0000
frame1024-hop256,bou-1961,seg_p07_m8,4,-795.169,0.7519,0.8660
