recording_id,segment_id,n_pairs,n_sign_agree,sign_agreement
ath-1973,seg_p07_m13,3,3,1.0
ath-1973,seg_p07_m18b6_m19b5,6,6,1.0
ath-1973,seg_p07_m5,5,5,1.0
ath-1973,seg_p07_m8,6,6,1.0
bou-1961,seg_p07_m13,3,3,1.0
bou-1961,seg_p07_m18b6_m19b5,5,5,1.0
bou-1961,seg_p07_m5,4,4,1.0
bou-1961,seg_p07_m8,3,2,0.667
bou-1977,seg_p07_m13,3,3,1.0
bou-1977,seg_p07_m18b6_m19b5,6,6,1.0
bou-1977,seg_p07_m5,5,5,1.0
bou-1977,seg_p07_m8,6,6,1.0
her-1991,seg_p07_m13,3,2,0.667
her-1991,seg_p07_m18b6_m19b5,3,1,0.333
her-1991,seg_p07_m5,4,4,1.0
her-1991,seg_p07_m8,4,3,0.75
hul-2012,seg_p07_m13,3,3,1.0
hul-2012,seg_p07_m18b6_m19b5,5,5,1.0
hul-2012,seg_p07_m5,4,4,1.0
hul-2012,seg_p07_m8,4,3,0.75
